# DOT SELECT - PROVENANCE OF THE ADMITTED SIGNALS. NOT A SCORE AND NOT A RANKING.
# SEED=0 book_size=297 config=whole_dot_config.json sha=9bd88c5a9edd
# Every column here records WHY a signal was ADMITTED by the train-window screen. NOTHING IN THIS FILE ORDERS SIGNALS BY QUALITY: a rebuilt ranking selector lost to 12 of 12 random draws on a holdout, 297 leave-one-out runs gave split-half rho -0.060 at p=0.305, and d_events moved by zero for 212 of 297. The book is homogeneous - there is nothing to prune and nothing to rank.
# Membership is a SEEDED DRAW at a config size, which is a SIZE PARAMETER, not a ranking. The arm is reproducible from SEED and book_size alone.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,SEED,book_size,PASS_trades,PASS_train_PF,PASS_buckets,PASS_bucket_frac
AT_Slope_ST:lo + Micro_PriceAccel:lo + Micro_TickIntensity:lo,LONG,23,22,8.9387,6,6,1.0,880.4,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + Micro_RangeVelocity:hi + OR_Low_Side:==-1,LONG,38,33,2.1784,6,5,0.8333,633.5,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + Micro_RangeVelocity:hi + Round_100_Dist_ATR:lo,LONG,48,43,4.3382,6,6,1.0,1972.2,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + Micro_ThrustEff:hi + Sqz_State:==1,LONG,22,19,2.3563,5,4,0.8,522.6,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + OBV_Macd:lo + Micro_BarOverlap:hi,LONG,20,18,2.4357,6,5,0.8333,390.8,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + OBV_Velocity:hi + Micro_Amihud:lo,SHORT,20,19,6.3002,4,4,1.0,271.9,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + OBV_Velocity:hi + Micro_RollProxy:hi,LONG,21,20,4.5804,5,4,0.8,547.8,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + OBVf_Signal:==-1 + RangeOsc_State:==-1,LONG,14,12,2.1484,5,4,0.8,250.0,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + Slope_Accel_ST:hi + ADX_Value:lo,SHORT,24,22,4.9351,6,5,0.8333,740.2,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + VAH_Dist_ATR:lo + Upper_Wick:hi,LONG,21,20,4.9721,6,5,0.8333,599.0,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + VWAP_Side:==1 + WeeklyOpen_Side:==-1,LONG,14,11,2.7911,4,3,0.75,667.0,0,297,PASS,PASS,PASS,PASS
AT_Slope_ST:lo + WeeklyOpen_Dist_ATR:lo + Harmonic_D2D_Concordance:==0,LONG,68,57,2.0461,6,4,0.6667,1323.7,0,297,PASS,PASS,PASS,PASS
Bar_Range:hi + KAMA_Dist:lo + AT_Regime_ST:==1,LONG,56,49,2.9659,6,4,0.6667,1760.7,0,297,PASS,PASS,PASS,PASS
Bar_Range:hi + Micro_VolAccel:lo + ST_Flip_Event:==1,LONG,34,30,2.324,6,6,1.0,905.9,0,297,PASS,PASS,PASS,PASS
Bar_Range:hi + Session_High_Dist_ATR:lo + Body_Size:lo,SHORT,25,22,2.934,5,4,0.8,703.8,0,297,PASS,PASS,PASS,PASS
Bar_Range:hi + Sqz_Val:lo + Micro_Lambda:lo,LONG,78,64,2.104,6,4,0.6667,1218.1,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + Micro_FailedBreak:lo + Session_Low_Dist_ATR:lo,LONG,17,17,inf,6,6,1.0,732.3,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + Micro_MicroGap:hi + MultiDay_Position:lo,LONG,19,17,6.842,6,5,0.8333,798.6,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + Micro_PriceAccel:lo + Session_Low_Dist_ATR:lo,LONG,26,25,18.7935,6,6,1.0,1412.8,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + Momentum_Value:lo + OBVf_Signal:==1,LONG,24,21,2.7005,6,4,0.6667,379.9,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + PrevDay_Low_Dist_ATR:lo + Volume:hi,LONG,90,78,2.9823,6,6,1.0,2760.9,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + Slope_EMA_ST:hi + VWAP_Side:==-1,LONG,18,17,17.3036,3,3,1.0,805.4,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + TChan_A15:hi + VWAP_Side:==-1,LONG,35,31,3.8537,6,6,1.0,900.9,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + VA_Position:hi + OR_Low_Side:==-1,LONG,14,11,2.5363,4,4,1.0,294.2,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:hi + VWAP_Sigma_ATR:lo + TChan_A15:hi,LONG,18,17,8.1159,5,5,1.0,829.0,0,297,PASS,PASS,PASS,PASS
Bars_Since_Flip:lo + Slope_Accel_LT:hi + PrevDay_High_Dist_ATR:hi,LONG,14,13,12.7558,5,4,0.8,808.8,0,297,PASS,PASS,PASS,PASS
D2D_ATR:hi + AT_Score_LT:hi + Lower_Wick:lo,LONG,22,20,2.8143,5,4,0.8,395.7,0,297,PASS,PASS,PASS,PASS
D2D_ATR:hi + AT_Slope_ST:hi + Session_High_Dist_ATR:hi,SHORT,18,16,3.8986,3,2,0.6667,488.7,0,297,PASS,PASS,PASS,PASS
D2D_ATR:hi + RangeOsc_Val:lo + Micro_TickIntensity:hi,LONG,21,20,8.6603,5,5,1.0,884.0,0,297,PASS,PASS,PASS,PASS
D2D_ATR_MA:hi + DailyOpen_Dist_ATR:lo + ST_Flip_Event:==-1,LONG,48,42,2.3246,6,5,0.8333,955.6,0,297,PASS,PASS,PASS,PASS
D2D_ATR_MA:hi + KAMA_Dist_ATR:hi + Session_Low_Dist_ATR:lo,LONG,25,22,4.0066,4,4,1.0,915.5,0,297,PASS,PASS,PASS,PASS
D2D_ATR_MA:hi + OBV_Macd:lo + Micro_Hurst:hi,LONG,75,64,3.0385,6,5,0.8333,3078.0,0,297,PASS,PASS,PASS,PASS
D2D_Dn_Count:hi + EMA_Oscillator:lo + Micro_WickImbalance:lo,SHORT,16,15,10.7895,4,4,1.0,1344.1,0,297,PASS,PASS,PASS,PASS
D2D_Dn_Count:hi + Micro_CSSpread:lo + OR_Position:lo,SHORT,12,11,2.751,5,4,0.8,267.9,0,297,PASS,PASS,PASS,PASS
D2D_Dn_Count:hi + Volume_Avg_10:hi + Micro_VPIN:hi,SHORT,33,30,4.6391,6,4,0.6667,1523.7,0,297,PASS,PASS,PASS,PASS
D2D_Dynamic_Sensitivity:lo + Micro_GarmanKlass:hi + Micro_TickIntensity:hi,SHORT,36,31,2.217,6,5,0.8333,483.4,0,297,PASS,PASS,PASS,PASS
D2D_Dynamic_Sensitivity:lo + Micro_MomoTransfer:hi + TChan_A15:hi,LONG,18,18,inf,5,5,1.0,865.8,0,297,PASS,PASS,PASS,PASS
D2D_Dynamic_Sensitivity:lo + Micro_ThrustEff:lo + Micro_WickImbalance:lo,SHORT,42,38,5.1653,6,5,0.8333,1910.2,0,297,PASS,PASS,PASS,PASS
D2D_Dynamic_Sensitivity:lo + Micro_VolAccel:lo + OR_Low_Side:==-1,LONG,28,24,2.4452,6,5,0.8333,784.9,0,297,PASS,PASS,PASS,PASS
D2D_Dynamic_Sensitivity:lo + Momentum_Value:lo + D2D_DirStep:==-1,LONG,18,17,9.013,6,6,1.0,555.3,0,297,PASS,PASS,PASS,PASS
D2D_Dynamic_Sensitivity:lo + Slope_Accel_ST:lo + OR_Low_Side:==-1,LONG,25,25,inf,6,6,1.0,937.4,0,297,PASS,PASS,PASS,PASS
D2D_Persist:hi + Micro_Amihud:lo + Micro_OrderFlowDelta:lo,SHORT,13,13,inf,5,5,1.0,306.2,0,297,PASS,PASS,PASS,PASS
D2D_Persist:hi + Micro_IBSP:lo + Harmonic_OBVf_Concordance:==0,SHORT,15,15,inf,5,5,1.0,299.6,0,297,PASS,PASS,PASS,PASS
D2D_Persist:hi + Micro_RangeVelocity:hi + OR_Low_Side:==1,SHORT,12,12,inf,5,5,1.0,238.9,0,297,PASS,PASS,PASS,PASS
D2D_Up_Count:hi + AT_Lookback_LT:hi + VWAP_Side:==-1,LONG,14,11,4.2542,5,5,1.0,1397.7,0,297,PASS,PASS,PASS,PASS
D2D_Up_Count:hi + AT_Slope_ST:lo + Harmonic_OBVf_Concordance:==0,LONG,20,19,7.4948,6,5,0.8333,1241.8,0,297,PASS,PASS,PASS,PASS
D2D_Up_Count:hi + Micro_CSSpread:lo + Round_1000_Dist_ATR:lo,LONG,18,16,3.162,5,5,1.0,515.2,0,297,PASS,PASS,PASS,PASS
D2D_Up_Count:hi + Micro_RangeAccel:lo + Upper_Wick:hi,LONG,17,17,inf,6,6,1.0,2021.6,0,297,PASS,PASS,PASS,PASS
D2D_Up_Count:hi + PrevDay_High_Dist_ATR:lo + VWAP_Sigma:hi,LONG,19,19,inf,4,4,1.0,1537.7,0,297,PASS,PASS,PASS,PASS
EMA_Oscillator:hi + Micro_Hurst:hi + AT_Regime_ST:==1,LONG,33,28,2.2234,6,5,0.8333,784.3,0,297,PASS,PASS,PASS,PASS
EMA_Oscillator:hi + Momentum_Value:lo + VWAP_Sigma:hi,LONG,17,17,inf,4,4,1.0,485.1,0,297,PASS,PASS,PASS,PASS
EMA_Oscillator:lo + Momentum_Value:hi + Micro_FailedBreak:hi,SHORT,24,22,3.4628,6,5,0.8333,477.3,0,297,PASS,PASS,PASS,PASS
Efficiency_Ratio:hi + Micro_WickImbalance:lo + VAL_Side:==-1,SHORT,14,13,3.3586,3,3,1.0,226.9,0,297,PASS,PASS,PASS,PASS
Efficiency_Ratio:hi + Upper_Wick:hi + D2D_Signal:==1,LONG,36,33,4.1692,6,5,0.8333,1721.2,0,297,PASS,PASS,PASS,PASS
Harmonic_LLEMA:hi + Micro_OrderFlowDelta:lo + RangeOsc_State:==-2,LONG,20,20,inf,5,5,1.0,566.5,0,297,PASS,PASS,PASS,PASS
Harmonic_OBVf_Concordance:==1 + VAH_Side:==0 + PrevDay_Low_Side:==1,SHORT,52,45,2.0203,5,4,0.8,910.4,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:hi + Micro_Hurst:hi + Lower_Wick:hi,SHORT,23,19,2.0909,5,4,0.8,490.9,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:hi + Micro_IBSP:hi + DailyOpen_Side:==-1,SHORT,29,26,3.5292,6,5,0.8333,727.4,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:hi + Micro_LogReturn:lo + TChan_A15:hi,SHORT,15,14,2.2965,4,3,0.75,187.6,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:hi + MultiDay_Position:lo + ST_Flip_Event:==-1,LONG,13,12,5.9636,4,3,0.75,490.9,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:hi + RangeOsc_Val:lo + MultiDay_Position:lo,LONG,16,15,8.1701,4,4,1.0,632.4,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:hi + ST_Flip_Event:==-1 + DailyOpen_Side:==-1,LONG,18,16,4.6422,5,4,0.8,610.8,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:lo + ADX_Value:lo + Volume:hi,LONG,30,26,4.4475,6,5,0.8333,1201.1,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:lo + Micro_RangeAccel:lo + MultiDay_Position:lo,LONG,17,16,10.333,6,5,0.8333,902.5,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:lo + Micro_Rejection:hi + Volume:hi,LONG,35,31,2.7154,6,5,0.8333,895.6,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:lo + Micro_VPIN:lo + WeeklyOpen_Dist_ATR:lo,LONG,20,17,3.7263,5,4,0.8,868.6,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:lo + Micro_WickImbalance:hi + Harmonic_OBVf_Concordance:==0,LONG,44,43,23.0724,6,6,1.0,2041.7,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:lo + VWAP_Dist_ATR:lo + Sqz_State:==1,LONG,21,20,23.6728,5,5,1.0,1358.1,0,297,PASS,PASS,PASS,PASS
KAMA_Dist:lo + VWAP_Sigma:hi + AT_Regime_ST:==1,LONG,16,13,2.6862,5,4,0.8,336.9,0,297,PASS,PASS,PASS,PASS
KAMA_Dist_ATR:hi + D2D_DirStep:==1 + OR_High_Side:==-1,SHORT,14,12,4.0717,4,3,0.75,376.9,0,297,PASS,PASS,PASS,PASS
