# DOT SELECT - PROVENANCE OF THE ADMITTED SIGNALS. NOT A SCORE AND NOT A RANKING.
# SEED=0 book_size=297 config=whole_dot_config.json sha=9bd88c5a9edd
# Every column here records WHY a signal was ADMITTED by the train-window screen. NOTHING IN THIS FILE ORDERS SIGNALS BY QUALITY: a rebuilt ranking selector lost to 12 of 12 random draws on a holdout, 297 leave-one-out runs gave split-half rho -0.060 at p=0.305, and d_events moved by zero for 212 of 297. The book is homogeneous - there is nothing to prune and nothing to rank.
# Membership is a SEEDED DRAW at a config size, which is a SIZE PARAMETER, not a ranking. The arm is reproducible from SEED and book_size alone.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,SEED,book_size,PASS_trades,PASS_train_PF,PASS_buckets,PASS_bucket_frac
Micro_MicroGap:lo + RangeOsc_State:==-2 + PrevDay_Low_Side:==-1,LONG,17,15,3.8644,5,5,1.0,898.0,0,297,PASS,PASS,PASS,PASS
Micro_MomoTransfer:hi + Micro_RangeVelocity:lo + Round_1000_Dist_ATR:lo,LONG,37,31,3.1486,6,6,1.0,1735.0,0,297,PASS,PASS,PASS,PASS
Micro_MomoTransfer:lo + PrevDay_High_Dist_ATR:lo + ST_Flip_Event:==1,LONG,12,12,inf,4,4,1.0,496.7,0,297,PASS,PASS,PASS,PASS
Micro_MomoTransfer:lo + TChan_A15:hi + VAL_Side:==-1,SHORT,15,15,inf,4,4,1.0,293.1,0,297,PASS,PASS,PASS,PASS
Micro_OrderFlowDelta:hi + Micro_Rejection:lo + D2D_DirStep:==1,LONG,65,57,3.0756,6,5,0.8333,3293.5,0,297,PASS,PASS,PASS,PASS
Micro_OrderFlowDelta:hi + Micro_Rejection:lo + Lower_Wick:lo,LONG,37,36,7.7376,6,6,1.0,2061.7,0,297,PASS,PASS,PASS,PASS
Micro_OrderFlowDelta:hi + MultiDay_Position:lo + ST_Flip_Event:==-1,LONG,12,12,inf,6,6,1.0,341.1,0,297,PASS,PASS,PASS,PASS
Micro_OrderFlowDelta:lo + VWAP_Sigma:lo + Volume:hi,LONG,44,38,3.0246,6,5,0.8333,1318.0,0,297,PASS,PASS,PASS,PASS
Micro_RangeAccel:hi + DailyOpen_Dist_ATR:hi + RangeOsc_State:==-2,LONG,12,10,2.6614,4,4,1.0,263.0,0,297,PASS,PASS,PASS,PASS
Micro_RangeAccel:lo + D2D_Signal:==1 + WeeklyOpen_Side:==-1,LONG,17,15,5.3865,5,4,0.8,1677.4,0,297,PASS,PASS,PASS,PASS
Micro_RollProxy:lo + Body_Size:lo + PrevDay_Close_Side:==-1,LONG,14,14,inf,6,6,1.0,466.1,0,297,PASS,PASS,PASS,PASS
Micro_TickIntensity:hi + MultiDay_Slope:hi + Body_Size:hi,LONG,20,19,3.4649,5,5,1.0,326.6,0,297,PASS,PASS,PASS,PASS
Micro_TickIntensity:hi + OR_Low_Dist_ATR:hi + VWAP_Sigma_ATR:lo,LONG,22,21,5.5763,4,4,1.0,560.6,0,297,PASS,PASS,PASS,PASS
Micro_TickIntensity:lo + Micro_VolAccel:lo + ST_Flip_Event:==1,LONG,14,14,inf,4,4,1.0,847.8,0,297,PASS,PASS,PASS,PASS
Micro_VPIN:hi + Round_500_Dist_ATR:lo + Session_Low_Side:==0,SHORT,14,12,2.1235,5,4,0.8,343.8,0,297,PASS,PASS,PASS,PASS
Micro_VPIN:lo + Upper_Wick:hi + ST_Flip_Event:==-1,LONG,13,13,inf,4,4,1.0,478.6,0,297,PASS,PASS,PASS,PASS
Micro_VolAccel:lo + PrevDay_High_Side:==1 + OR_Low_Side:==-1,LONG,13,12,5.7436,4,4,1.0,482.9,0,297,PASS,PASS,PASS,PASS
Micro_WickImbalance:hi + Lower_Wick:lo + WeeklyOpen_Side:==-1,LONG,26,26,inf,4,4,1.0,1270.5,0,297,PASS,PASS,PASS,PASS
Micro_WickImbalance:hi + RangeOsc_State:==-2 + WeeklyOpen_Side:==-1,LONG,32,29,3.9289,4,4,1.0,1446.9,0,297,PASS,PASS,PASS,PASS
Micro_WickImbalance:lo + D2D_Signal:==-1 + RangeOsc_State:==-1,SHORT,18,17,12.2651,4,3,0.75,1546.7,0,297,PASS,PASS,PASS,PASS
Micro_WickImbalance:lo + DailyOpen_Dist_ATR:lo + PoC_Side:==0,SHORT,20,18,3.1636,5,4,0.8,630.7,0,297,PASS,PASS,PASS,PASS
Momentum_Value:hi + Efficiency_Ratio:hi + DailyOpen_Dist_ATR:lo,SHORT,12,11,5.0985,5,4,0.8,407.8,0,297,PASS,PASS,PASS,PASS
Momentum_Value:hi + Micro_Entropy:lo + VWAP_Dist_ATR:lo,SHORT,13,13,inf,4,4,1.0,393.3,0,297,PASS,PASS,PASS,PASS
Momentum_Value:hi + Micro_RangeVelocity:lo + Lower_Wick:lo,SHORT,14,14,inf,5,5,1.0,734.3,0,297,PASS,PASS,PASS,PASS
Momentum_Value:hi + MultiDay_Position:lo + ST_Flip_Event:==1,LONG,19,19,inf,5,5,1.0,625.2,0,297,PASS,PASS,PASS,PASS
Momentum_Value:hi + OR_Position:hi + RangeOsc_State:==2,SHORT,23,22,8.003,6,6,1.0,708.7,0,297,PASS,PASS,PASS,PASS
Momentum_Value:hi + Session_Low_Dist_ATR:lo + DailyOpen_Side:==1,SHORT,14,14,inf,5,5,1.0,403.8,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + Micro_Amihud:hi + Micro_VolOfVol:hi,LONG,16,15,5.5354,6,6,1.0,711.6,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + Micro_BarEntropy:hi + VAH_Side:==0,SHORT,39,33,3.0874,6,6,1.0,793.0,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + Micro_GarmanKlass:hi + VWAP_Dist_ATR:hi,LONG,19,18,9.1023,4,3,0.75,499.1,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + Micro_HLAsymmetry:lo + OR_Low_Dist_ATR:hi,LONG,45,40,2.7185,5,5,1.0,622.6,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + Micro_VPIN:hi + PrevDay_High_Side:==1,LONG,18,17,4.933,5,5,1.0,369.7,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + Micro_WickImbalance:hi + OR_High_Side:==-1,LONG,48,45,4.7162,6,6,1.0,1119.7,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + MultiDay_Position:hi + VWAP_Z:hi,LONG,20,18,2.2686,4,4,1.0,313.6,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + OR_Low_Dist_ATR:hi + Sqz_State:==1,LONG,39,36,3.4076,5,5,1.0,664.5,0,297,PASS,PASS,PASS,PASS
Momentum_Value:lo + OR_Low_Dist_ATR:hi + WeeklyOpen_Dist_ATR:lo,LONG,19,18,7.7305,4,4,1.0,414.6,0,297,PASS,PASS,PASS,PASS
MultiDay_Position:lo + VAH_Side:==0 + PrevDay_Low_Side:==1,SHORT,28,25,2.7063,5,5,1.0,641.4,0,297,PASS,PASS,PASS,PASS
OBV_Macd:hi + Micro_Amihud:lo + Session_Low_Dist_ATR:lo,LONG,12,10,3.3322,4,4,1.0,351.7,0,297,PASS,PASS,PASS,PASS
OBV_Macd:hi + Micro_Amihud:lo + VWAP_Dist_ATR:lo,SHORT,16,16,inf,5,5,1.0,349.5,0,297,PASS,PASS,PASS,PASS
OBV_Macd:hi + Micro_Lambda:hi + OR_High_Dist_ATR:hi,SHORT,14,12,2.9259,5,4,0.8,335.5,0,297,PASS,PASS,PASS,PASS
OBV_Macd:hi + PrevDay_Close_Dist_ATR:hi + OR_High_Side:==-1,SHORT,16,16,inf,4,4,1.0,459.5,0,297,PASS,PASS,PASS,PASS
OBV_Macd:hi + VAH_Dist_ATR:lo + PrevDay_Close_Side:==-1,LONG,18,16,3.7779,5,4,0.8,814.2,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Body_Size:lo + TChan_A15:hi,LONG,28,24,5.3853,5,4,0.8,1063.0,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + KAMA_Dist:hi + PrevDay_Low_Side:==-1,LONG,66,57,2.4814,6,6,1.0,2134.6,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + KAMA_Dist_ATR:hi + Efficiency_Ratio:hi,LONG,41,35,3.4932,6,6,1.0,1489.2,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + KAMA_Dist_ATR:hi + Momentum_Value:hi,LONG,76,67,3.4478,6,6,1.0,2079.9,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + KAMA_Dist_ATR:hi + Round_100_Dist_ATR:lo,LONG,42,41,9.8635,6,5,0.8333,1694.7,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Micro_GarmanKlass:hi + Body_Size:lo,LONG,31,27,3.9962,6,5,0.8333,856.6,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Micro_Hurst:hi + OR_High_Side:==-1,LONG,59,52,3.0916,6,6,1.0,2148.3,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Micro_MicroGap:lo + Lower_Wick:hi,LONG,47,41,2.4366,6,6,1.0,1187.9,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Micro_MicroGap:lo + Micro_WickImbalance:lo,LONG,46,42,4.9409,6,6,1.0,1801.0,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Micro_RangeAccel:hi + Micro_Rejection:lo,LONG,63,56,3.7261,6,6,1.0,2617.3,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Micro_Rejection:lo + Session_Low_Dist_ATR:lo,LONG,44,38,2.4973,6,6,1.0,1851.1,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Micro_Rejection:lo + VWAP_Sigma_ATR:lo,LONG,55,48,2.7628,6,5,0.8333,2236.5,0,297,PASS,PASS,PASS,PASS
OBV_Macd:lo + Volume_Ratio_10:hi + Micro_FractalDim:lo,LONG,22,22,inf,5,5,1.0,1434.5,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:hi + Micro_BarOverlap:hi + Body_Size:hi,SHORT,24,21,2.1193,5,4,0.8,445.8,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:hi + Micro_RollProxy:hi + PrevDay_Close_Side:==1,SHORT,25,24,3.3928,4,3,0.75,366.1,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:hi + Micro_WickImbalance:lo + DailyOpen_Side:==1,SHORT,29,25,2.6662,5,4,0.8,453.7,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:hi + OR_High_Dist_ATR:hi + VWAP_Z:lo,SHORT,17,17,inf,3,3,1.0,318.0,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:hi + OR_Position:hi + VWAP_Side:==1,SHORT,23,21,2.0677,6,5,0.8333,258.7,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:hi + Sqz_Val:hi + Lower_Wick:lo,SHORT,16,15,4.2013,5,4,0.8,489.8,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:lo + Micro_AutoCorr:hi + AT_Regime_ST:==1,LONG,23,20,2.7942,6,5,0.8333,979.8,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:lo + Micro_AutoCorr:hi + Micro_PriceAccel:hi,LONG,28,26,2.4899,5,4,0.8,619.2,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:lo + Micro_VPIN:lo + VWAP_Sigma_ATR:lo,LONG,22,22,inf,6,6,1.0,835.5,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:lo + Micro_VolOfVol:hi + OR_Position:lo,LONG,16,14,9.3898,6,5,0.8333,1549.6,0,297,PASS,PASS,PASS,PASS
OBV_Velocity:lo + OR_Position:lo + PrevDay_Low_Side:==1,LONG,21,18,3.9749,6,5,0.8333,1139.1,0,297,PASS,PASS,PASS,PASS
OBVf_DirStepCount:hi + Micro_VolOfVol:hi + OR_Position:lo,LONG,13,12,2.5654,6,5,0.8333,221.5,0,297,PASS,PASS,PASS,PASS
OBVf_DirStepCount:lo + DailyOpen_Dist_ATR:lo + PrevDay_Low_Side:==-1,LONG,21,17,3.1588,4,3,0.75,1245.2,0,297,PASS,PASS,PASS,PASS
OBVf_DirStepCount:lo + Micro_Rejection:lo + Micro_WickImbalance:hi,SHORT,17,15,2.7623,6,4,0.6667,405.5,0,297,PASS,PASS,PASS,PASS
OBVf_DirStepCount:lo + Micro_Rejection:lo + PrevDay_Low_Side:==-1,LONG,22,20,7.4924,5,5,1.0,1840.6,0,297,PASS,PASS,PASS,PASS
OBVf_DirStepCount:lo + PrevDay_Close_Side:==1 + OR_Low_Side:==-1,LONG,33,31,7.4289,5,5,1.0,1266.5,0,297,PASS,PASS,PASS,PASS
OBVf_DirStepCount:lo + Round_500_Dist_ATR:lo + D2D_Signal:==1,LONG,19,16,3.9855,5,4,0.8,1484.4,0,297,PASS,PASS,PASS,PASS
OR_Low_Dist_ATR:hi + WeeklyOpen_Dist_ATR:hi + AT_Regime_LT:==1,LONG,20,20,inf,3,3,1.0,444.7,0,297,PASS,PASS,PASS,PASS
PrevDay_High_Dist_ATR:lo + OBVf_Signal:==-1 + PrevDay_Low_Side:==-1,LONG,15,11,2.3824,4,3,0.75,880.2,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:hi + Micro_RollProxy:lo + ST_Flip_Event:==1,LONG,15,13,2.4213,5,4,0.8,380.9,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Micro_Amihud:hi + Round_500_Dist_ATR:lo,LONG,20,19,4.771,6,6,1.0,793.8,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Micro_BarEntropy:lo + DailyOpen_Dist_ATR:lo,LONG,12,12,inf,5,5,1.0,526.7,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Micro_BarOverlap:lo + DailyOpen_Dist_ATR:lo,LONG,12,11,5.373,5,5,1.0,385.7,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Micro_LogReturn:lo + AT_Regime_ST:==1,LONG,32,28,3.4636,6,5,0.8333,921.4,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Micro_MomoTransfer:lo + Micro_VolOfVol:hi,LONG,12,12,inf,5,5,1.0,456.7,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Micro_Rejection:lo + OR_Low_Side:==-1,LONG,21,19,5.4381,6,5,0.8333,659.5,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Micro_VolOfVol:hi + DailyOpen_Dist_ATR:lo,LONG,14,13,7.8472,6,6,1.0,510.8,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + Round_500_Dist_ATR:lo + Upper_Wick:hi,LONG,23,19,2.3538,6,5,0.8333,680.3,0,297,PASS,PASS,PASS,PASS
RangeOsc_Val:lo + VA_Position:hi + Body_Size:lo,SHORT,12,12,inf,3,3,1.0,462.7,0,297,PASS,PASS,PASS,PASS
Round_500_Dist_ATR:lo + RangeOsc_State:==2 + ST_Flip_Event:==1,SHORT,15,14,3.8118,4,4,1.0,430.2,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:hi + Momentum_Value:lo + OR_Low_Dist_ATR:hi,LONG,22,20,2.363,5,5,1.0,298.5,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:hi + OR_High_Dist_ATR:hi + RangeOsc_State:==-2,LONG,16,15,2.9427,3,2,0.6667,457.3,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:hi + OR_High_Dist_ATR:hi + RangeOsc_State:==2,LONG,24,22,3.1618,5,5,1.0,394.1,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:hi + PrevDay_Low_Side:==-1 + DailyOpen_Side:==1,LONG,17,15,3.5583,3,3,1.0,563.6,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:hi + Slope_Accel_ST:lo + ADX_Value:lo,LONG,15,14,2.0398,5,4,0.8,180.4,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:hi + Sqz_Val:lo + Micro_VPIN:lo,LONG,29,26,3.3921,6,5,0.8333,881.5,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:hi + Upper_Wick:hi + RangeOsc_State:==-2,LONG,40,37,4.902,6,5,0.8333,1242.4,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + KAMA_Dist:hi + Volume_Ratio_10:hi,LONG,16,14,4.2961,5,4,0.8,1019.8,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + KAMA_Slope:hi + Micro_IBSP:hi,SHORT,20,18,3.118,6,4,0.6667,369.8,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_FailedBreak:hi + VAH_Side:==0,SHORT,22,20,5.0373,5,5,1.0,584.2,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_Hurst:hi + Micro_ThrustEff:hi,LONG,14,13,9.4071,5,5,1.0,1082.0,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_Hurst:hi + Upper_Wick:hi,LONG,16,15,6.7798,5,5,1.0,1105.1,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_LogReturn:hi + Micro_RollProxy:hi,LONG,27,26,13.366,5,5,1.0,1591.5,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_LogReturn:hi + Micro_VolAccel:lo,LONG,13,13,inf,5,5,1.0,1140.9,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_LogReturn:hi + Volume:hi,LONG,36,32,2.9421,5,5,1.0,1302.6,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_RangeAccel:lo + Micro_RollProxy:lo,LONG,15,15,inf,5,5,1.0,495.9,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_VolAccel:lo + Round_1000_Dist_ATR:lo,LONG,13,12,13.4861,5,5,1.0,991.4,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Micro_VolAccel:lo + Round_500_Dist_ATR:lo,LONG,18,17,7.8598,5,5,1.0,1227.9,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + PrevDay_Close_Dist_ATR:hi + D2D_DirStep:==1,SHORT,18,16,3.5231,4,4,1.0,321.7,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + PrevDay_High_Dist_ATR:lo + WeeklyOpen_Dist_ATR:hi,SHORT,24,20,2.769,4,3,0.75,411.3,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Round_100_Dist_ATR:lo + D2D_DirStep:==-1,LONG,17,15,3.4585,4,4,1.0,489.0,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + VWAP_Sigma_ATR:lo + D2D_DirStep:==1,LONG,24,21,3.6465,5,5,1.0,1159.7,0,297,PASS,PASS,PASS,PASS
Slope_Accel_LT:lo + Volume_Ratio_10:lo + Round_500_Dist_ATR:lo,SHORT,16,15,2.7278,4,4,1.0,198.7,0,297,PASS,PASS,PASS,PASS
Slope_Accel_ST:hi + Efficiency_Ratio:hi + VA_Position:hi,SHORT,19,18,6.4738,6,5,0.8333,616.9,0,297,PASS,PASS,PASS,PASS
Slope_Accel_ST:hi + Efficiency_Ratio:lo + Micro_BarOverlap:lo,LONG,14,14,inf,5,5,1.0,488.1,0,297,PASS,PASS,PASS,PASS
Slope_Accel_ST:hi + Micro_AutoCorr:hi + ADX_Value:lo,SHORT,38,37,7.3797,6,6,1.0,976.1,0,297,PASS,PASS,PASS,PASS
Slope_Accel_ST:hi + Micro_Hurst:hi + VA_Position:hi,SHORT,54,48,2.6808,5,5,1.0,865.6,0,297,PASS,PASS,PASS,PASS
Slope_Accel_ST:lo + OBV_Velocity:lo + OBVf_DirStepCount:lo,SHORT,17,15,3.3921,5,4,0.8,541.1,0,297,PASS,PASS,PASS,PASS
Slope_EMA_LT:hi + Micro_VPIN:lo + OR_High_Side:==-1,SHORT,56,48,2.5195,6,5,0.8333,1271.7,0,297,PASS,PASS,PASS,PASS
Slope_EMA_LT:hi + MultiDay_Slope:hi + PrevDay_Close_Side:==-1,SHORT,17,15,2.6855,4,3,0.75,337.6,0,297,PASS,PASS,PASS,PASS
Slope_EMA_LT:lo + Micro_GarmanKlass:hi + ST_Flip_Event:==-1,LONG,18,16,3.0219,5,5,1.0,379.1,0,297,PASS,PASS,PASS,PASS
Slope_EMA_LT:lo + Session_Low_Dist_ATR:lo + ADX_Value:hi,LONG,13,12,14.3563,5,5,1.0,1417.1,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:hi + Body_Size:lo + Lower_Wick:hi,SHORT,15,14,3.5924,6,5,0.8333,164.1,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:hi + KAMA_Dist:hi + DailyOpen_Side:==-1,SHORT,18,16,4.0953,5,4,0.8,458.1,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:hi + KAMA_Dist:hi + Micro_RangeAccel:lo,SHORT,22,19,2.6823,6,5,0.8333,472.4,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + KAMA_Slope:hi + Micro_MomoTransfer:hi,LONG,18,16,2.6671,6,5,0.8333,573.8,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Micro_Amihud:hi + DailyOpen_Dist_ATR:lo,LONG,15,13,3.7807,5,4,0.8,957.1,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Micro_HLAsymmetry:hi + D2D_DirStep:==-1,LONG,29,27,3.2902,6,6,1.0,469.5,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Micro_MicroGap:lo + AT_Regime_LT:==1,LONG,14,13,2.0868,5,4,0.8,207.8,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Micro_RangeVelocity:hi + Micro_VolAccel:lo,LONG,15,14,16.6543,5,5,1.0,887.6,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Micro_Rejection:lo + PrevDay_High_Dist_ATR:lo,LONG,27,23,5.7138,5,5,1.0,1452.8,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Micro_TickIntensity:lo + PrevDay_Low_Side:==1,LONG,28,25,4.5155,6,6,1.0,2151.5,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Momentum_Value:hi + Micro_Amihud:hi,LONG,22,20,3.7375,5,5,1.0,1361.1,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + OBV_Velocity:hi + Micro_BarOverlap:lo,SHORT,17,16,14.7096,5,5,1.0,755.4,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Round_1000_Dist_ATR:lo + OR_Position:lo,LONG,34,30,3.3832,6,5,0.8333,1285.0,0,297,PASS,PASS,PASS,PASS
Slope_EMA_ST:lo + Session_Low_Dist_ATR:lo + Harmonic_D2D_Concordance:==0,LONG,29,25,2.3699,6,6,1.0,1023.2,0,297,PASS,PASS,PASS,PASS
Sqz_Val:hi + Micro_AutoCorr:lo + OR_High_Dist_ATR:hi,SHORT,15,14,5.0677,5,5,1.0,348.6,0,297,PASS,PASS,PASS,PASS
Sqz_Val:hi + Micro_Hurst:hi + VAH_Dist_ATR:lo,LONG,28,26,4.4217,6,6,1.0,1114.1,0,297,PASS,PASS,PASS,PASS
Sqz_Val:hi + PrevDay_High_Dist_ATR:hi + TChan_A15:hi,SHORT,14,14,inf,5,5,1.0,277.8,0,297,PASS,PASS,PASS,PASS
Sqz_Val:lo + Efficiency_Ratio:hi + Micro_Lambda:lo,LONG,26,21,2.7453,5,4,0.8,526.2,0,297,PASS,PASS,PASS,PASS
Sqz_Val:lo + Efficiency_Ratio:hi + Micro_RangeAccel:lo,LONG,28,26,5.5481,6,6,1.0,699.5,0,297,PASS,PASS,PASS,PASS
Sqz_Val:lo + Efficiency_Ratio:lo + Micro_AutoCorr:hi,LONG,20,18,2.407,5,5,1.0,259.6,0,297,PASS,PASS,PASS,PASS
Sqz_Val:lo + Micro_FractalDim:lo + Round_100_Dist_ATR:lo,LONG,36,32,2.6498,6,6,1.0,805.6,0,297,PASS,PASS,PASS,PASS
Sqz_Val:lo + Micro_Lambda:lo + Round_100_Dist_ATR:lo,LONG,50,43,2.6343,5,4,0.8,893.0,0,297,PASS,PASS,PASS,PASS
Sqz_Val:lo + PrevDay_Low_Dist_ATR:hi + OR_Position:hi,SHORT,24,20,2.7013,3,2,0.6667,355.4,0,297,PASS,PASS,PASS,PASS
Sqz_Val:lo + WeeklyOpen_Dist_ATR:lo + ADX_Value:lo,LONG,31,27,2.1535,6,4,0.6667,475.8,0,297,PASS,PASS,PASS,PASS
VWAP_Dist_ATR:lo + Round_1000_Dist_ATR:lo + ST_Flip_Event:==-1,LONG,23,21,3.3877,6,4,0.6667,654.7,0,297,PASS,PASS,PASS,PASS
VWAP_Dist_ATR:lo + VAL_Dist_ATR:lo + ST_Flip_Event:==-1,LONG,12,12,inf,4,4,1.0,454.2,0,297,PASS,PASS,PASS,PASS
VWAP_Side:==1 + PrevDay_Low_Side:==-1 + OR_High_Side:==-1,SHORT,22,19,2.3323,4,3,0.75,337.6,0,297,PASS,PASS,PASS,PASS
Volume:hi + PrevDay_Low_Side:==-1 + OR_Low_Side:==1,LONG,65,55,2.1082,5,4,0.8,2019.9,0,297,PASS,PASS,PASS,PASS
Volume_Avg_10:hi + Micro_Entropy:lo + VAH_Dist_ATR:lo,LONG,27,24,2.019,6,4,0.6667,746.5,0,297,PASS,PASS,PASS,PASS
Volume_Avg_10:hi + Micro_Lambda:hi + RangeOsc_State:==-2,LONG,60,55,3.8787,6,5,0.8333,2282.5,0,297,PASS,PASS,PASS,PASS
Volume_Avg_10:hi + Micro_WickImbalance:lo + VWAP_Sigma:lo,LONG,21,20,12.4893,4,4,1.0,697.4,0,297,PASS,PASS,PASS,PASS
Volume_Avg_10:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1,SHORT,46,39,2.6168,5,4,0.8,656.9,0,297,PASS,PASS,PASS,PASS
Volume_Ratio_10:hi + Momentum_Value:lo + Micro_Amihud:hi,LONG,13,12,4.2422,6,6,1.0,508.7,0,297,PASS,PASS,PASS,PASS
Volume_Ratio_10:hi + OR_Position:hi + PrevDay_Low_Side:==-1,LONG,18,16,2.3026,4,3,0.75,317.7,0,297,PASS,PASS,PASS,PASS
Volume_Ratio_10:lo + Volume:hi + PrevDay_High_Side:==1,SHORT,16,15,7.3199,4,3,0.75,375.4,0,297,PASS,PASS,PASS,PASS
WeeklyOpen_Dist_ATR:hi + Upper_Wick:hi + OR_Low_Side:==-1,LONG,38,32,2.5681,3,3,1.0,732.3,0,297,PASS,PASS,PASS,PASS
