trigger,direction,signal_def
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Micro_GarmanKlass:hi + Micro_TickIntensity:hi
F0,LONG,D2D_Dynamic_Sensitivity:lo + Micro_MomoTransfer:hi + TChan_A15:hi
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Micro_ThrustEff:lo + Micro_WickImbalance:lo
F0,LONG,D2D_Dynamic_Sensitivity:lo + Micro_VolAccel:lo + OR_Low_Side:==-1
F0,LONG,D2D_Dynamic_Sensitivity:lo + Momentum_Value:lo + D2D_DirStep:==-1
F0,LONG,D2D_Dynamic_Sensitivity:lo + Slope_Accel_ST:lo + OR_Low_Side:==-1
F0,SHORT,D2D_Persist:hi + Micro_Amihud:lo + Micro_OrderFlowDelta:lo
F0,SHORT,D2D_Persist:hi + Micro_IBSP:lo + Harmonic_OBVf_Concordance:==0
F0,SHORT,D2D_Persist:hi + Micro_RangeVelocity:hi + OR_Low_Side:==1
F0,LONG,D2D_Up_Count:hi + AT_Lookback_LT:hi + VWAP_Side:==-1
F0,LONG,D2D_Up_Count:hi + AT_Slope_ST:lo + Harmonic_OBVf_Concordance:==0
F0,LONG,D2D_Up_Count:hi + Micro_CSSpread:lo + Round_1000_Dist_ATR:lo
F0,LONG,D2D_Up_Count:hi + Micro_RangeAccel:lo + Upper_Wick:hi
F0,LONG,D2D_Up_Count:hi + PrevDay_High_Dist_ATR:lo + VWAP_Sigma:hi
F0,LONG,EMA_Oscillator:hi + Micro_Hurst:hi + AT_Regime_ST:==1
F0,LONG,EMA_Oscillator:hi + Momentum_Value:lo + VWAP_Sigma:hi
F0,SHORT,EMA_Oscillator:lo + Momentum_Value:hi + Micro_FailedBreak:hi
F0,SHORT,Efficiency_Ratio:hi + Micro_WickImbalance:lo + VAL_Side:==-1
F0,LONG,Efficiency_Ratio:hi + Upper_Wick:hi + D2D_Signal:==1
F0,LONG,Harmonic_LLEMA:hi + Micro_OrderFlowDelta:lo + RangeOsc_State:==-2
F0,SHORT,Harmonic_OBVf_Concordance:==1 + VAH_Side:==0 + PrevDay_Low_Side:==1
F0,SHORT,KAMA_Dist:hi + Micro_Hurst:hi + Lower_Wick:hi
F0,SHORT,KAMA_Dist:hi + Micro_IBSP:hi + DailyOpen_Side:==-1
F0,SHORT,KAMA_Dist:hi + Micro_LogReturn:lo + TChan_A15:hi
F0,LONG,KAMA_Dist:hi + MultiDay_Position:lo + ST_Flip_Event:==-1
F0,LONG,KAMA_Dist:hi + RangeOsc_Val:lo + MultiDay_Position:lo
F0,LONG,KAMA_Dist:hi + ST_Flip_Event:==-1 + DailyOpen_Side:==-1
F0,LONG,KAMA_Dist:lo + ADX_Value:lo + Volume:hi
F0,LONG,KAMA_Dist:lo + Micro_RangeAccel:lo + MultiDay_Position:lo
F0,LONG,KAMA_Dist:lo + Micro_Rejection:hi + Volume:hi
F0,LONG,KAMA_Dist:lo + Micro_VPIN:lo + WeeklyOpen_Dist_ATR:lo
F0,LONG,KAMA_Dist:lo + Micro_WickImbalance:hi + Harmonic_OBVf_Concordance:==0
F0,LONG,KAMA_Dist:lo + VWAP_Dist_ATR:lo + Sqz_State:==1
F0,LONG,KAMA_Dist:lo + VWAP_Sigma:hi + AT_Regime_ST:==1
F0,SHORT,KAMA_Dist_ATR:hi + D2D_DirStep:==1 + OR_High_Side:==-1
F0,LONG,KAMA_Dist_ATR:hi + EMA_Oscillator:hi + Session_Low_Dist_ATR:lo
F0,LONG,KAMA_Dist_ATR:hi + Micro_FractalDim:lo + Session_Low_Dist_ATR:lo
F0,LONG,KAMA_Dist_ATR:hi + PrevDay_Low_Dist_ATR:lo + Session_Low_Dist_ATR:lo
F0,LONG,KAMA_Slope:lo + Micro_HLAsymmetry:lo + VAL_Dist_ATR:lo
F0,LONG,KAMA_Slope:lo + Micro_RollProxy:lo + AT_Regime_ST:==1
F0,LONG,KAMA_Slope:lo + Micro_RollProxy:lo + PrevDay_High_Side:==-1
F0,LONG,KAMA_Slope:lo + Micro_VolOfVol:hi + Harmonic_OBVf_Concordance:==0
F0,LONG,KAMA_Slope:lo + Sqz_Val:lo + Micro_MomoTransfer:lo
F0,SHORT,Micro_Amihud:hi + Micro_VolOfVol:lo + Micro_WickImbalance:hi
F0,SHORT,Micro_Amihud:lo + Micro_CSSpread:hi + VA_Position:hi
F0,SHORT,Micro_Amihud:lo + Micro_LogReturn:hi + Micro_MicroGap:lo
F0,LONG,Micro_Amihud:lo + WeeklyOpen_Dist_ATR:hi + OR_Low_Side:==-1
F0,SHORT,Micro_AutoCorr:lo + Micro_FractalDim:lo + Micro_HLAsymmetry:hi
F0,LONG,Micro_BarEntropy:lo + Micro_LogReturn:lo + Upper_Wick:hi
F0,LONG,Micro_BarEntropy:lo + Micro_MicroGap:hi + Micro_Rejection:hi
F0,LONG,Micro_BarEntropy:lo + PrevDay_High_Side:==1 + OR_Low_Side:==-1
F0,SHORT,Micro_CSSpread:lo + Micro_OrderFlowDelta:lo + ST_Flip_Event:==-1
F0,LONG,Micro_Entropy:hi + Micro_OrderFlowDelta:hi + Micro_VolOfVol:hi
F0,LONG,Micro_Entropy:lo + Micro_MicroGap:lo + PrevDay_Low_Side:==-1
F0,LONG,Micro_Entropy:lo + MultiDay_Slope:hi + OR_Low_Side:==-1
F0,SHORT,Micro_FailedBreak:hi + Micro_PriceAccel:lo + MultiDay_Slope:hi
F0,LONG,Micro_FailedBreak:hi + Micro_Rejection:lo + Volume:hi
F0,LONG,Micro_FailedBreak:hi + Micro_ThrustEff:lo + Volume:hi
F0,SHORT,Micro_FailedBreak:hi + VWAP_Sigma_ATR:lo + VAH_Side:==0
F0,LONG,Micro_FailedBreak:lo + Micro_HLAsymmetry:hi + AT_Regime_ST:==1
F0,LONG,Micro_FailedBreak:lo + Micro_Rejection:lo + Lower_Wick:hi
F0,LONG,Micro_FailedBreak:lo + Micro_VolAccel:lo + RangeOsc_State:==-1
F0,LONG,Micro_FailedBreak:lo + OR_Position:lo + PrevDay_High_Side:==1
F0,LONG,Micro_FractalDim:hi + Micro_Hurst:hi + OR_Position:lo
F0,LONG,Micro_FractalDim:lo + Micro_MicroGap:lo + RangeOsc_State:==-1
F0,LONG,Micro_FractalDim:lo + WeeklyOpen_Dist_ATR:lo + RangeOsc_State:==2
F0,LONG,Micro_GarmanKlass:hi + Session_High_Dist_ATR:hi + OR_Position:hi
F0,SHORT,Micro_HLAsymmetry:hi + Micro_ThrustEff:lo + TChan_A15:hi
F0,SHORT,Micro_HLAsymmetry:lo + PrevDay_Low_Dist_ATR:lo + Session_Low_Side:==0
F0,SHORT,Micro_Hurst:hi + Micro_Lambda:hi + Micro_RangeVelocity:lo
F0,SHORT,Micro_Hurst:hi + Micro_WickImbalance:lo + PrevDay_Low_Dist_ATR:hi
F0,LONG,Micro_Lambda:hi + Upper_Wick:hi + D2D_Signal:==1
F0,SHORT,Micro_Lambda:lo + Micro_MicroGap:hi + RangeOsc_State:==2
F0,LONG,Micro_Lambda:lo + Micro_RollProxy:hi + PrevDay_Close_Dist_ATR:hi
F0,LONG,Micro_Lambda:lo + Micro_RollProxy:hi + Session_Low_Dist_ATR:lo
F0,SHORT,Micro_LogReturn:hi + Micro_ThrustEff:lo + Micro_WickImbalance:lo
F0,LONG,Micro_LogReturn:hi + Micro_VPIN:lo + D2D_DirStep:==-1
F0,LONG,Micro_MicroGap:lo + RangeOsc_State:==-2 + PrevDay_Low_Side:==-1
F0,LONG,Micro_MomoTransfer:hi + Micro_RangeVelocity:lo + Round_1000_Dist_ATR:lo
F0,LONG,Micro_MomoTransfer:lo + PrevDay_High_Dist_ATR:lo + ST_Flip_Event:==1
F0,SHORT,Micro_MomoTransfer:lo + TChan_A15:hi + VAL_Side:==-1
F0,LONG,Micro_OrderFlowDelta:hi + Micro_Rejection:lo + D2D_DirStep:==1
F0,LONG,Micro_OrderFlowDelta:hi + Micro_Rejection:lo + Lower_Wick:lo
F0,LONG,Micro_OrderFlowDelta:hi + MultiDay_Position:lo + ST_Flip_Event:==-1
F0,LONG,Micro_OrderFlowDelta:lo + VWAP_Sigma:lo + Volume:hi
F0,LONG,Micro_RangeAccel:hi + DailyOpen_Dist_ATR:hi + RangeOsc_State:==-2
F0,LONG,Micro_RangeAccel:lo + D2D_Signal:==1 + WeeklyOpen_Side:==-1
F0,LONG,Micro_RollProxy:lo + Body_Size:lo + PrevDay_Close_Side:==-1
F0,LONG,Micro_TickIntensity:hi + MultiDay_Slope:hi + Body_Size:hi
F0,LONG,Micro_TickIntensity:hi + OR_Low_Dist_ATR:hi + VWAP_Sigma_ATR:lo
F0,LONG,Micro_TickIntensity:lo + Micro_VolAccel:lo + ST_Flip_Event:==1
F0,SHORT,Micro_VPIN:hi + Round_500_Dist_ATR:lo + Session_Low_Side:==0
F0,LONG,Micro_VPIN:lo + Upper_Wick:hi + ST_Flip_Event:==-1
F0,LONG,Micro_VolAccel:lo + PrevDay_High_Side:==1 + OR_Low_Side:==-1
F0,LONG,Micro_WickImbalance:hi + Lower_Wick:lo + WeeklyOpen_Side:==-1
F0,LONG,Micro_WickImbalance:hi + RangeOsc_State:==-2 + WeeklyOpen_Side:==-1
F0,SHORT,Micro_WickImbalance:lo + D2D_Signal:==-1 + RangeOsc_State:==-1
