# DOT SELECT - EVERYTHING THE TRAIN-WINDOW SCREEN CUT, WITH THE CRITERION THAT CUT IT.
# SEED=0 book_size=297
# Screened on the RAW F0 scan. The 6,488/6,034 pre-filter is deliberately NOT applied: it uses full-sample agg_pf, folds_plus and trades computed over the months the screen is meant to validate against, so layering a train-only screen on it means the population was already selected with the answer.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,reject_criterion
OBV_Velocity:hi + Micro_OrderFlowDelta:hi + Lower_Wick:lo,SHORT,6,6,inf,4,4,1.0,232.0,trades 6 < 12
KAMA_Dist_ATR:hi + Micro_ThrustEff:hi + VWAP_Side:==-1,SHORT,1,1,inf,1,1,1.0,20.6,trades 1 < 12
Sqz_Val:lo + Micro_VolAccel:hi + Body_Size:lo,LONG,8,8,inf,4,4,1.0,257.2,trades 8 < 12
Momentum_Value:hi + ST_Flip_Event:==1 + OR_High_Side:==0,SHORT,2,2,inf,2,2,1.0,46.5,trades 2 < 12
Round_1000_Dist_ATR:hi + ADX_Value:lo + PoC_Side:==0,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
AT_Lookback_LT:hi + Sqz_Val:hi + ADX_Rising:==1,SHORT,11,10,3.0114,5,4,0.8,194.1,trades 11 < 12
AT_Score_LT:hi + Volume_Avg_10:lo + Upper_Wick:hi,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
AT_Score_LT:lo + Momentum_Value:hi + Micro_FractalDim:lo,SHORT,8,7,3.1434,4,3,0.75,212.2,trades 8 < 12
Slope_EMA_LT:hi + Micro_ThrustEff:hi + OR_Position:lo,LONG,4,4,inf,4,4,1.0,115.9,trades 4 < 12
Slope_EMA_LT:hi + Round_500_Dist_ATR:lo + Session_High_Dist_ATR:hi,SHORT,2,2,inf,2,2,1.0,40.6,trades 2 < 12
Slope_Accel_LT:lo + Micro_CSSpread:lo + VAH_Dist_ATR:hi,LONG,6,5,1.9397,3,3,1.0,43.6,trades 6 < 12
Slope_Accel_LT:lo + Micro_TickIntensity:hi + DailyOpen_Dist_ATR:hi,LONG,10,9,1.6659,3,3,1.0,85.7,trades 10 < 12
Slope_Accel_ST:lo + Micro_BarEntropy:lo + PoC_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
KAMA_Dist_ATR:hi + KAMA_Slope:hi + Body_Size:lo,SHORT,4,4,inf,3,3,1.0,398.8,trades 4 < 12
KAMA_Dist_ATR:hi + Micro_MicroGap:lo + PrevDay_Low_Side:==1,SHORT,8,7,11.2313,3,3,1.0,411.3,trades 8 < 12
KAMA_Dist_ATR:hi + Micro_VPIN:lo + OR_Low_Side:==1,SHORT,8,7,11.6868,3,2,0.6667,406.1,trades 8 < 12
KAMA_Dist_ATR:hi + Round_100_Dist_ATR:hi + WeeklyOpen_Side:==-1,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
KAMA_Slope:lo + Micro_TickIntensity:lo + Micro_VolAccel:hi,LONG,11,10,5.1888,6,5,0.8333,419.3,trades 11 < 12
Sqz_Val:hi + Session_Low_Dist_ATR:lo + VWAP_Sigma_ATR:hi,SHORT,6,6,inf,3,3,1.0,181.4,trades 6 < 12
RangeOsc_Val:lo + Micro_CSSpread:hi + Micro_Hurst:hi,LONG,5,5,inf,3,3,1.0,255.2,trades 5 < 12
RangeOsc_Val:hi + Micro_Hurst:hi + DailyOpen_Dist_ATR:lo,SHORT,8,8,inf,4,4,1.0,177.7,trades 8 < 12
RangeOsc_Val:lo + Micro_Hurst:lo + Upper_Wick:lo,LONG,1,1,inf,1,1,1.0,177.9,trades 1 < 12
RangeOsc_Val:hi + Micro_LogReturn:hi + MultiDay_Position:lo,SHORT,11,11,inf,3,3,1.0,392.2,trades 11 < 12
Momentum_Value:lo + Micro_WickImbalance:lo + RangeOsc_State:==-1,LONG,17,14,1.2167,5,4,0.8,75.3,train_PF 1.2167 < 2.0
Micro_HLAsymmetry:hi + Round_1000_Dist_ATR:hi + PrevDay_Low_Side:==-1,LONG,1,1,inf,1,1,1.0,9.2,trades 1 < 12
Micro_MicroGap:lo + OR_Low_Dist_ATR:hi + Volume:lo,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_RangeVelocity:hi + Micro_TickIntensity:hi + Lower_Wick:hi,LONG,21,18,1.8664,6,5,0.8333,334.6,train_PF 1.8664 < 2.0
PrevDay_Low_Dist_ATR:hi + PrevDay_Close_Side:==1 + OR_Low_Side:==-1,LONG,10,8,1.8623,3,2,0.6667,199.8,trades 10 < 12
D2D_ATR_MA:lo + AT_Slope_ST:hi + Micro_WickImbalance:hi,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
AT_Score_ST:hi + Micro_Amihud:lo + Micro_AutoCorr:lo,SHORT,3,3,inf,3,3,1.0,220.5,trades 3 < 12
Slope_EMA_LT:hi + OR_High_Dist_ATR:hi + OR_Position:lo,LONG,4,3,0.7478,1,0,0.0,-14.1,trades 4 < 12
OBV_Macd:lo + OBVf_DirStepCount:lo + Session_High_Dist_ATR:lo,LONG,9,9,inf,5,5,1.0,1518.9,trades 9 < 12
KAMA_Dist:lo + Sqz_Val:hi + VWAP_Sigma_ATR:hi,SHORT,7,6,2.8604,3,2,0.6667,97.3,trades 7 < 12
KAMA_Dist:hi + Session_High_Dist_ATR:hi + AT_Regime_ST:==1,SHORT,5,5,inf,2,2,1.0,139.0,trades 5 < 12
Momentum_Value:lo + Micro_VolOfVol:hi + AT_Regime_ST:==0,LONG,10,10,inf,5,5,1.0,602.2,trades 10 < 12
Momentum_Value:lo + PrevDay_High_Dist_ATR:lo + OR_Low_Dist_ATR:hi,LONG,36,30,1.3075,4,4,1.0,190.3,train_PF 1.3075 < 2.0
Efficiency_Ratio:lo + WeeklyOpen_Dist_ATR:lo + ST_Flip_Event:==-1,SHORT,4,4,inf,3,3,1.0,106.4,trades 4 < 12
Dist_To_PoC_ATR:hi + Micro_LogReturn:lo + VWAP_Dist_ATR:lo,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
ATR_1M:lo + Momentum_Value:hi + PrevDay_Close_Side:==-1,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_Dn_Count:hi + Micro_GarmanKlass:lo + OR_Low_Side:==1,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
AT_Slope_ST:lo + Micro_CSSpread:hi + Micro_TickIntensity:lo,LONG,14,12,1.2233,4,2,0.5,85.4,train_PF 1.2233 < 2.0
Slope_Accel_LT:lo + Micro_Hurst:hi + Micro_RangeAccel:hi,LONG,14,12,1.7895,4,3,0.75,249.0,train_PF 1.7895 < 2.0
Slope_Accel_LT:lo + Micro_RangeVelocity:lo + DailyOpen_Dist_ATR:hi,LONG,10,9,2.5657,2,2,1.0,201.5,trades 10 < 12
Slope_Accel_ST:hi + VWAP_Side:==-1 + OR_High_Side:==1,SHORT,8,6,0.3959,2,0,0.0,-136.1,trades 8 < 12
Harmonic_LLEMA:lo + Micro_BarOverlap:lo + VWAP_Side:==-1,LONG,6,6,inf,3,3,1.0,243.9,trades 6 < 12
Sqz_Val:lo + ADX_Value:lo + AT_Regime_ST:==0,LONG,15,11,1.8293,3,3,1.0,206.9,train_PF 1.8293 < 2.0
Momentum_Value:hi + Efficiency_Ratio:hi + Micro_Lambda:hi,SHORT,8,7,5.6179,5,4,0.8,454.4,trades 8 < 12
D2D_ATR_MA:hi + Micro_BarOverlap:hi + VAL_Side:==-1,SHORT,8,8,inf,3,3,1.0,147.5,trades 8 < 12
D2D_Dynamic_Sensitivity:lo + Micro_TickIntensity:lo + Session_Low_Side:==0,SHORT,5,5,inf,4,4,1.0,188.4,trades 5 < 12
D2D_Persist:hi + Momentum_Value:hi + MultiDay_Position:hi,SHORT,9,9,inf,4,4,1.0,209.6,trades 9 < 12
D2D_Persist:hi + Micro_VolAccel:lo + VWAP_Sigma:hi,SHORT,9,9,inf,3,3,1.0,274.7,trades 9 < 12
AT_Score_ST:lo + Momentum_Value:hi + DailyOpen_Dist_ATR:hi,SHORT,10,9,2.521,3,3,1.0,87.0,trades 10 < 12
AT_Slope_ST:lo + WeeklyOpen_Dist_ATR:lo + Body_Size:lo,LONG,8,7,3.7124,4,3,0.75,187.7,trades 8 < 12
Slope_EMA_ST:lo + Momentum_Value:hi + VWAP_Sigma_ATR:hi,SHORT,12,12,inf,2,2,1.0,257.3,buckets_present 2 < 3
OBV_Macd:lo + Micro_MicroGap:lo + WeeklyOpen_Side:==-1,LONG,34,29,1.7559,5,4,0.8,778.1,train_PF 1.7559 < 2.0
KAMA_Dist:hi + DailyOpen_Dist_ATR:hi + PrevDay_Low_Side:==1,SHORT,10,10,inf,1,1,1.0,239.2,trades 10 < 12
KAMA_Dist_ATR:lo + Sqz_Val:hi + DailyOpen_Dist_ATR:lo,SHORT,8,8,inf,2,2,1.0,285.6,trades 8 < 12
Volume_Ratio_10:lo + TChan_A15:lo + PoC_Side:==0,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_BarEntropy:hi + ST_Flip_Event:==1 + PrevDay_Low_Side:==-1,SHORT,10,9,6.3353,5,4,0.8,273.7,trades 10 < 12
WeeklyOpen_Dist_ATR:lo + Lower_Wick:lo + ST_Flip_Event:==-1,LONG,4,4,inf,2,2,1.0,153.1,trades 4 < 12
MultiDay_Position:hi + D2D_Signal:==1 + Harmonic_OBVf_Concordance:==1,LONG,8,7,1.1781,4,3,0.75,31.6,trades 8 < 12
D2D_Persist:hi + Micro_IBSP:lo + PrevDay_Low_Dist_ATR:lo,SHORT,7,7,inf,3,3,1.0,105.0,trades 7 < 12
AT_Lookback_LT:hi + OBV_Macd:lo + KAMA_Dist_ATR:hi,LONG,8,6,4.0529,2,2,1.0,467.1,trades 8 < 12
AT_Score_LT:hi + Slope_Accel_ST:hi + PrevDay_Low_Dist_ATR:lo,LONG,12,9,0.6672,5,3,0.6,-229.1,train_PF 0.6672 < 2.0
AT_Score_ST:hi + Dist_To_PoC_ATR:lo + Micro_BarEntropy:lo,LONG,7,6,2.4854,4,3,0.75,284.0,trades 7 < 12
AT_Score_ST:lo + Micro_FailedBreak:lo + Micro_VPIN:lo,LONG,4,4,inf,3,3,1.0,152.7,trades 4 < 12
AT_Slope_ST:lo + Volume_Ratio_10:lo + Micro_IBSP:lo,LONG,3,3,inf,3,3,1.0,77.1,trades 3 < 12
KAMA_Dist_ATR:hi + Micro_WickImbalance:lo + OBVf_Signal:==1,SHORT,9,8,2.0651,3,2,0.6667,67.1,trades 9 < 12
Harmonic_LLEMA:hi + Micro_Amihud:lo + OR_High_Side:==-1,SHORT,11,10,5.4297,4,3,0.75,220.6,trades 11 < 12
Round_1000_Dist_ATR:lo + TChan_A15:lo + RangeOsc_State:==1,SHORT,2,2,inf,2,2,1.0,59.7,trades 2 < 12
MultiDay_Slope:lo + VAL_Side:==0 + PrevDay_Low_Side:==1,SHORT,4,4,inf,3,3,1.0,393.0,trades 4 < 12
D2D_Persist:hi + Micro_OrderFlowDelta:lo + Lower_Wick:lo,SHORT,6,6,inf,3,3,1.0,140.3,trades 6 < 12
D2D_Persist:hi + Round_1000_Dist_ATR:lo + D2D_Signal:==1,LONG,6,6,inf,3,3,1.0,832.3,trades 6 < 12
AT_Score_LT:hi + Micro_TickIntensity:hi + VWAP_Dist_ATR:lo,SHORT,9,9,inf,3,3,1.0,208.5,trades 9 < 12
AT_Slope_ST:hi + Micro_HLAsymmetry:hi + Session_High_Dist_ATR:hi,SHORT,9,9,inf,3,3,1.0,487.5,trades 9 < 12
AT_Slope_ST:lo + PrevDay_Low_Dist_ATR:hi + Upper_Wick:hi,LONG,6,4,0.2866,2,0,0.0,-218.3,trades 6 < 12
Slope_Accel_LT:lo + Slope_Accel_ST:lo + ADX_Value:lo,LONG,9,7,0.735,4,3,0.75,-82.0,trades 9 < 12
OBVf_DirStepCount:lo + Upper_Wick:hi + D2D_Signal:==1,LONG,13,11,4.9948,5,3,0.6,1375.0,bucket_profit_frac 0.600 < 0.667 (3/5)
KAMA_Slope:lo + VA_Position:lo + Body_Size:hi,LONG,9,8,5.4077,5,4,0.8,264.9,trades 9 < 12
Micro_PriceAccel:lo + Micro_TickIntensity:lo + Body_Size:lo,SHORT,1,1,inf,1,1,1.0,42.0,trades 1 < 12
MultiDay_Slope:lo + Sqz_State:==-1 + VAL_Side:==0,SHORT,20,17,2.1399,5,3,0.6,523.2,bucket_profit_frac 0.600 < 0.667 (3/5)
VA_Position:hi + TChan_A15:lo + Harmonic_OBVf_Concordance:==1,SHORT,3,3,inf,3,3,1.0,117.6,trades 3 < 12
VA_Position:hi + VWAP_Z:hi + ST_Flip_Event:==1,LONG,7,6,2.5021,4,3,0.75,287.2,trades 7 < 12
Harmonic_D2D_Concordance:==1 + Sqz_State:==-1 + ST_Flip_Event:==-1,LONG,2,2,inf,2,2,1.0,138.3,trades 2 < 12
D2D_Dn_Count:hi + Micro_CSSpread:lo + PrevDay_High_Side:==1,SHORT,6,6,inf,5,5,1.0,163.4,trades 6 < 12
D2D_Dynamic_Sensitivity:lo + Micro_VolAccel:lo + D2D_Signal:==-1,SHORT,11,11,inf,5,5,1.0,1506.4,trades 11 < 12
AT_Score_ST:lo + Micro_PriceAccel:lo + PrevDay_Low_Side:==-1,LONG,5,5,inf,2,2,1.0,231.2,trades 5 < 12
Slope_EMA_LT:lo + Micro_VPIN:lo + ST_Flip_Event:==-1,LONG,5,5,inf,3,3,1.0,159.6,trades 5 < 12
Slope_EMA_ST:lo + Micro_Amihud:hi + Session_Low_Side:==0,SHORT,8,8,inf,4,4,1.0,490.9,trades 8 < 12
KAMA_Dist_ATR:lo + Lower_Wick:lo + Harmonic_OBVf_Concordance:==0,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Sqz_Val:lo + DailyOpen_Dist_ATR:lo + RangeOsc_State:==-1,LONG,23,19,1.4888,6,4,0.6667,301.6,train_PF 1.4888 < 2.0
Sqz_Val:hi + ADX_Value:hi + Lower_Wick:lo,SHORT,9,9,inf,5,5,1.0,202.7,trades 9 < 12
Volume_Avg_10:hi + PrevDay_High_Dist_ATR:hi + OR_High_Side:==0,SHORT,10,8,1.3272,4,2,0.5,46.2,trades 10 < 12
Micro_Entropy:lo + Micro_RollProxy:hi + Session_Low_Side:==0,SHORT,8,8,inf,6,6,1.0,684.7,trades 8 < 12
Round_500_Dist_ATR:hi + OR_Position:hi + VWAP_Side:==-1,SHORT,1,1,inf,1,1,1.0,30.5,trades 1 < 12
ADX_Value:hi + Harmonic_D2D_Concordance:==0 + RangeOsc_State:==-1,LONG,10,10,inf,5,5,1.0,380.9,trades 10 < 12
ATR_1M:lo + AT_Score_LT:lo + VAL_Dist_ATR:hi,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_ATR:lo + OR_Low_Dist_ATR:hi + Upper_Wick:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_Dn_Count:hi + VWAP_Dist_ATR:hi + Harmonic_OBVf_Concordance:==1,SHORT,3,3,inf,2,2,1.0,172.8,trades 3 < 12
AT_Score_LT:lo + PrevDay_Low_Dist_ATR:lo + WeeklyOpen_Dist_ATR:hi,LONG,4,4,inf,2,2,1.0,134.4,trades 4 < 12
Slope_Accel_LT:hi + Micro_IBSP:lo + Session_High_Dist_ATR:hi,SHORT,7,7,inf,3,3,1.0,407.1,trades 7 < 12
Harmonic_LLEMA:lo + Micro_GarmanKlass:lo + RangeOsc_State:==2,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_FailedBreak:lo + Micro_PriceAccel:hi + RangeOsc_State:==2,LONG,11,9,1.7829,4,2,0.5,197.2,trades 11 < 12
ADX_Value:lo + VAL_Side:==0 + PrevDay_Low_Side:==1,SHORT,3,3,inf,3,3,1.0,89.1,trades 3 < 12
Bar_Range:hi + Sqz_Val:lo + Session_Low_Side:==0,SHORT,21,17,1.9505,6,5,0.8333,491.5,train_PF 1.9505 < 2.0
D2D_ATR:lo + Micro_IBSP:lo + PoC_Side:==0,SHORT,1,1,inf,1,1,1.0,0.6,trades 1 < 12
D2D_Dynamic_Sensitivity:lo + AT_Lookback_ST:hi + PrevDay_Low_Side:==-1,LONG,9,9,inf,3,3,1.0,488.8,trades 9 < 12
D2D_Persist:hi + Slope_EMA_ST:hi + Micro_VolOfVol:lo,SHORT,9,9,inf,5,5,1.0,263.3,trades 9 < 12
D2D_Up_Count:hi + Slope_EMA_ST:hi + VAL_Dist_ATR:hi,LONG,5,5,inf,3,3,1.0,546.6,trades 5 < 12
AT_Lookback_LT:hi + Efficiency_Ratio:hi + ST_Flip_Event:==-1,LONG,5,5,inf,5,5,1.0,396.7,trades 5 < 12
AT_Score_ST:lo + ADX_Value:hi + Session_Low_Side:==0,SHORT,2,2,inf,2,2,1.0,321.0,trades 2 < 12
AT_Slope_LT:hi + Slope_EMA_ST:hi + VWAP_Side:==-1,LONG,7,7,inf,3,3,1.0,692.3,trades 7 < 12
AT_Slope_ST:lo + OBV_Macd:hi + VWAP_Side:==-1,LONG,10,9,1.849,5,4,0.8,110.8,trades 10 < 12
Slope_Accel_LT:lo + Micro_Hurst:hi + Micro_VolAccel:lo,LONG,11,11,inf,5,5,1.0,1182.3,trades 11 < 12
Harmonic_LLEMA:hi + Micro_HLAsymmetry:hi + DailyOpen_Dist_ATR:hi,SHORT,7,6,6.2682,3,2,0.6667,288.7,trades 7 < 12
Sqz_Val:hi + Round_100_Dist_ATR:hi + OR_High_Dist_ATR:hi,SHORT,2,2,inf,1,1,1.0,83.7,trades 2 < 12
Sqz_Val:hi + AT_Regime_LT:==0 + OR_Low_Side:==-1,SHORT,17,14,1.5017,6,5,0.8333,179.5,train_PF 1.5017 < 2.0
RangeOsc_Val:lo + Micro_Entropy:lo + VAL_Dist_ATR:lo,LONG,9,8,8.9043,6,6,1.0,627.6,trades 9 < 12
Volume_Ratio_10:lo + Micro_MicroGap:lo + VAH_Dist_ATR:lo,LONG,5,5,inf,3,3,1.0,102.3,trades 5 < 12
Momentum_Value:lo + OR_High_Dist_ATR:hi + RangeOsc_State:==-1,LONG,9,8,1.9127,4,3,0.75,76.3,trades 9 < 12
Micro_Amihud:hi + ADX_Value:hi + Session_Low_Side:==0,SHORT,3,3,inf,3,3,1.0,111.7,trades 3 < 12
Micro_VolAccel:hi + PrevDay_Low_Dist_ATR:hi + PrevDay_Low_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
PrevDay_Low_Dist_ATR:lo + WeeklyOpen_Dist_ATR:hi + VWAP_Sigma:lo,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
PrevDay_Low_Dist_ATR:lo + RangeOsc_State:==1 + OR_Low_Side:==-1,SHORT,19,15,1.8342,6,4,0.6667,199.8,train_PF 1.8342 < 2.0
D2D_Persist:hi + Slope_EMA_LT:lo + Lower_Wick:lo,SHORT,4,4,inf,3,3,1.0,148.2,trades 4 < 12
D2D_Persist:hi + Micro_BarEntropy:hi + VWAP_Dist_ATR:hi,SHORT,3,3,inf,3,3,1.0,44.3,trades 3 < 12
D2D_Up_Count:hi + PrevDay_Close_Dist_ATR:lo + TChan_A15:lo,LONG,4,4,inf,2,2,1.0,188.8,trades 4 < 12
AT_Score_ST:lo + Momentum_Value:hi + Lower_Wick:lo,SHORT,6,6,inf,4,4,1.0,115.8,trades 6 < 12
AT_Slope_LT:lo + WeeklyOpen_Dist_ATR:hi + ST_Flip_Event:==1,LONG,5,5,inf,2,2,1.0,129.3,trades 5 < 12
Slope_Accel_LT:hi + Slope_Accel_ST:hi + Micro_Lambda:hi,SHORT,6,6,inf,3,3,1.0,445.9,trades 6 < 12
Slope_Accel_LT:lo + Micro_WickImbalance:lo + Lower_Wick:hi,LONG,16,14,1.9682,6,4,0.6667,280.3,train_PF 1.9682 < 2.0
Slope_Accel_LT:lo + MultiDay_Slope:lo + Harmonic_D2D_Concordance:==0,LONG,6,6,inf,3,3,1.0,232.4,trades 6 < 12
Sqz_Val:lo + ADX_Value:lo + Harmonic_D2D_Concordance:==1,LONG,8,6,0.6659,4,2,0.5,-71.7,trades 8 < 12
Micro_BarEntropy:hi + Micro_VPIN:hi + VAH_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_CSSpread:lo + Sqz_State:==-1 + ST_Flip_Event:==1,SHORT,5,5,inf,3,3,1.0,90.6,trades 5 < 12
Micro_Entropy:hi + Lower_Wick:hi + VAH_Side:==0,SHORT,8,8,inf,3,3,1.0,252.7,trades 8 < 12
Micro_FailedBreak:lo + Micro_MicroGap:lo + ST_Flip_Event:==-1,LONG,8,8,inf,4,4,1.0,315.5,trades 8 < 12
Micro_FailedBreak:hi + Micro_ThrustEff:lo + VWAP_Sigma_ATR:lo,LONG,8,8,inf,5,5,1.0,370.3,trades 8 < 12
Micro_GarmanKlass:lo + Micro_RollProxy:lo + OR_Low_Side:==-1,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_Rejection:hi + Micro_ThrustEff:lo + D2D_DirStep:==1,SHORT,1,1,inf,1,1,1.0,28.5,trades 1 < 12
VAH_Dist_ATR:hi + WeeklyOpen_Dist_ATR:lo + VWAP_Side:==-1,LONG,4,4,inf,2,2,1.0,59.7,trades 4 < 12
ATR_1M:lo + D2D_Dn_Count:hi + Sqz_Val:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Bar_Range:lo + OBV_Velocity:lo + KAMA_Slope:hi,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Bar_Range:hi + OBVf_DirStepCount:hi + Session_Low_Dist_ATR:hi,SHORT,15,13,1.9329,2,2,1.0,179.4,train_PF 1.9329 < 2.0
AT_Score_LT:hi + Micro_RangeVelocity:lo + WeeklyOpen_Dist_ATR:lo,SHORT,15,13,2.1474,4,2,0.5,266.3,bucket_profit_frac 0.500 < 0.667 (2/4)
AT_Score_LT:lo + Micro_VolOfVol:lo + DailyOpen_Side:==1,LONG,3,3,inf,3,3,1.0,409.9,trades 3 < 12
AT_Score_ST:hi + AT_Slope_LT:hi + Session_Low_Dist_ATR:lo,LONG,8,7,12.5767,5,4,0.8,566.1,trades 8 < 12
AT_Score_ST:lo + Micro_Entropy:hi + OR_High_Side:==1,SHORT,9,8,3.8318,3,2,0.6667,419.1,trades 9 < 12
AT_Slope_ST:lo + Body_Size:lo + VAH_Side:==0,SHORT,8,8,inf,5,5,1.0,157.1,trades 8 < 12
Slope_EMA_ST:hi + OBV_Velocity:hi + Micro_WickImbalance:lo,SHORT,20,17,2.1458,5,3,0.6,362.2,bucket_profit_frac 0.600 < 0.667 (3/5)
Slope_Accel_LT:hi + OBV_Macd:lo + Micro_AutoCorr:hi,SHORT,8,7,2.7385,5,4,0.8,101.7,trades 8 < 12
Slope_Accel_LT:lo + Micro_RangeVelocity:lo + RangeOsc_State:==2,LONG,8,8,inf,3,3,1.0,464.7,trades 8 < 12
OBV_Velocity:hi + MultiDay_Slope:hi + OR_Position:hi,SHORT,6,6,inf,4,4,1.0,120.7,trades 6 < 12
Sqz_Val:hi + PrevDay_Low_Dist_ATR:lo + DailyOpen_Dist_ATR:hi,SHORT,8,8,inf,3,3,1.0,346.6,trades 8 < 12
Momentum_Value:lo + OR_Low_Dist_ATR:hi + TChan_A15:hi,LONG,42,37,1.7372,5,5,1.0,410.5,train_PF 1.7372 < 2.0
Micro_BarEntropy:lo + Micro_RangeVelocity:lo + D2D_Signal:==-1,SHORT,10,9,2.5869,4,4,1.0,242.8,trades 10 < 12
Micro_Entropy:hi + Micro_FractalDim:lo + ST_Flip_Event:==-1,LONG,4,4,inf,3,3,1.0,176.4,trades 4 < 12
Micro_FailedBreak:hi + VWAP_Side:==-1 + OR_High_Side:==1,LONG,10,10,inf,3,3,1.0,691.7,trades 10 < 12
D2D_ATR_MA:lo + EMA_Oscillator:hi + PrevDay_Low_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_Persist:hi + Round_100_Dist_ATR:hi + Session_High_Dist_ATR:hi,SHORT,1,1,inf,1,1,1.0,73.3,trades 1 < 12
Bars_Since_Flip:hi + Slope_Accel_LT:lo + Micro_AutoCorr:hi,LONG,11,10,5.5309,4,4,1.0,256.9,trades 11 < 12
Slope_EMA_LT:lo + Slope_Accel_LT:hi + Micro_IBSP:hi,SHORT,12,10,3.427,5,3,0.6,269.4,bucket_profit_frac 0.600 < 0.667 (3/5)
Slope_EMA_ST:hi + Micro_Entropy:hi + TChan_A15:hi,SHORT,27,24,3.2672,6,3,0.5,829.8,bucket_profit_frac 0.500 < 0.667 (3/6)
Slope_Accel_LT:lo + Micro_CSSpread:hi + PrevDay_High_Side:==1,LONG,9,9,inf,2,2,1.0,331.7,trades 9 < 12
Slope_Accel_LT:lo + Micro_VolAccel:lo + OR_Low_Dist_ATR:hi,LONG,12,10,1.2928,4,4,1.0,76.5,train_PF 1.2928 < 2.0
OBV_Macd:lo + Micro_RangeAccel:hi + Round_500_Dist_ATR:hi,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
OBV_Macd:lo + WeeklyOpen_Dist_ATR:hi + Upper_Wick:hi,LONG,8,8,inf,4,4,1.0,418.7,trades 8 < 12
KAMA_Dist:hi + Micro_BarEntropy:lo + Micro_Hurst:hi,SHORT,11,11,inf,4,4,1.0,528.8,trades 11 < 12
KAMA_Dist_ATR:hi + DailyOpen_Dist_ATR:hi + VWAP_Side:==-1,SHORT,1,1,inf,1,1,1.0,8.6,trades 1 < 12
EMA_Oscillator:lo + Body_Size:lo + AT_Regime_ST:==0,SHORT,8,8,inf,4,4,1.0,119.2,trades 8 < 12
RangeOsc_Val:lo + Momentum_Value:hi + Upper_Wick:lo,LONG,5,5,inf,3,3,1.0,278.1,trades 5 < 12
RangeOsc_Val:lo + Micro_Entropy:lo + VAH_Dist_ATR:lo,LONG,7,7,inf,5,5,1.0,410.4,trades 7 < 12
Micro_Entropy:lo + Micro_VolAccel:lo + D2D_Signal:==-1,SHORT,10,10,inf,5,5,1.0,1491.4,trades 10 < 12
Micro_FractalDim:hi + Micro_WickImbalance:hi + ST_Flip_Event:==-1,LONG,7,7,inf,4,4,1.0,162.2,trades 7 < 12
PrevDay_High_Dist_ATR:hi + WeeklyOpen_Dist_ATR:lo + TChan_A15:hi,LONG,10,10,inf,3,3,1.0,145.6,trades 10 < 12
ATR_1M:lo + AT_Score_LT:hi + OR_High_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
D2D_Dynamic_Sensitivity:lo + Slope_Accel_LT:hi + OBVf_DirStepCount:lo,LONG,12,10,1.5446,5,3,0.6,132.5,train_PF 1.5446 < 2.0
D2D_Persist:hi + Slope_Accel_ST:hi + VWAP_Dist_ATR:hi,SHORT,4,4,inf,2,2,1.0,53.4,trades 4 < 12
D2D_Persist:lo + Micro_MomoTransfer:hi + Micro_Rejection:lo,LONG,3,3,inf,2,2,1.0,49.4,trades 3 < 12
AT_Score_LT:hi + OBVf_DirStepCount:hi + ADX_Rising:==0,SHORT,6,6,inf,3,3,1.0,113.5,trades 6 < 12
Slope_Accel_LT:lo + Volume_Ratio_10:hi + Micro_VolAccel:lo,LONG,9,9,inf,5,5,1.0,1061.6,trades 9 < 12
Slope_Accel_ST:hi + Efficiency_Ratio:lo + Volume:lo,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
OBV_Velocity:hi + MultiDay_Slope:hi + VWAP_Z:lo,SHORT,11,11,inf,3,3,1.0,265.8,trades 11 < 12
