# DOT SELECT - EVERYTHING THE TRAIN-WINDOW SCREEN CUT, WITH THE CRITERION THAT CUT IT.
# SEED=0 book_size=297
# Screened on the RAW F0 scan. The 6,488/6,034 pre-filter is deliberately NOT applied: it uses full-sample agg_pf, folds_plus and trades computed over the months the screen is meant to validate against, so layering a train-only screen on it means the population was already selected with the answer.
signal_def,direction,train_trades,train_wins,train_PF,buckets_present,buckets_profitable,bucket_profit_frac,train_net,reject_criterion
Micro_VolOfVol:hi + RangeOsc_State:==2 + PoC_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Micro_RangeAccel:hi + VAL_Dist_ATR:lo + Body_Size:lo,LONG,7,6,629.0,3,3,1.0,188.4,trades 7 < 12
RangeOsc_Val:lo + Micro_FailedBreak:lo + Micro_VPIN:hi,LONG,7,6,4.8338,3,2,0.6667,304.4,trades 7 < 12
PrevDay_Low_Dist_ATR:hi + Session_High_Dist_ATR:hi + VAH_Side:==0,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Bars_Since_Flip:hi + RangeOsc_Val:lo + Micro_VPIN:lo,LONG,8,8,inf,4,4,1.0,587.4,trades 8 < 12
AT_Score_ST:lo + Micro_LogReturn:lo + ADX_Rising:==1,LONG,11,10,5.2591,5,4,0.8,292.6,trades 11 < 12
D2D_Dynamic_Sensitivity:lo + RangeOsc_Val:lo + DailyOpen_Dist_ATR:lo,LONG,7,7,inf,5,5,1.0,369.0,trades 7 < 12
D2D_Persist:hi + RangeOsc_State:==-2 + OR_High_Side:==-1,SHORT,11,11,inf,5,5,1.0,238.2,trades 11 < 12
AT_Slope_ST:lo + RangeOsc_Val:lo + Micro_Lambda:hi,LONG,8,8,inf,3,3,1.0,506.5,trades 8 < 12
Micro_PriceAccel:hi + PrevDay_Close_Dist_ATR:hi + ST_Flip_Event:==1,LONG,1,1,inf,1,1,1.0,12.7,trades 1 < 12
RangeOsc_Val:lo + VWAP_Z:lo + VAH_Side:==1,LONG,4,4,inf,3,3,1.0,139.8,trades 4 < 12
OBV_Macd:lo + Micro_VolOfVol:lo + PrevDay_High_Dist_ATR:lo,LONG,9,9,inf,6,6,1.0,741.4,trades 9 < 12
AT_Slope_LT:lo + AT_Slope_ST:hi + Micro_BarEntropy:lo,SHORT,10,10,inf,3,3,1.0,466.5,trades 10 < 12
AT_Score_ST:hi + Micro_Amihud:hi + Micro_Entropy:lo,SHORT,5,5,inf,3,3,1.0,233.0,trades 5 < 12
Micro_FailedBreak:hi + PrevDay_High_Dist_ATR:lo + VAH_Side:==0,SHORT,7,7,inf,5,5,1.0,463.5,trades 7 < 12
AT_Lookback_ST:hi + KAMA_Dist_ATR:hi + Sqz_Val:lo,LONG,3,3,inf,3,3,1.0,45.0,trades 3 < 12
Slope_Accel_LT:lo + PrevDay_Close_Dist_ATR:hi + ADX_Value:lo,LONG,6,6,inf,3,3,1.0,115.9,trades 6 < 12
Momentum_Value:lo + VWAP_Dist_ATR:lo + Body_Size:lo,LONG,11,11,inf,5,5,1.0,473.0,trades 11 < 12
Slope_Accel_LT:lo + Micro_Lambda:hi + VAL_Side:==-1,SHORT,6,6,inf,3,3,1.0,153.6,trades 6 < 12
AT_Slope_ST:hi + Micro_Entropy:hi + Micro_Hurst:hi,SHORT,11,10,4.9048,5,4,0.8,500.2,trades 11 < 12
Micro_TickIntensity:lo + Micro_VolOfVol:lo + ST_Flip_Event:==1,SHORT,4,4,inf,2,2,1.0,154.0,trades 4 < 12
Slope_Accel_LT:lo + Volume_Ratio_10:hi + Micro_RangeVelocity:lo,LONG,11,11,inf,5,5,1.0,1193.4,trades 11 < 12
RangeOsc_Val:lo + Micro_VolOfVol:hi + Upper_Wick:lo,LONG,6,6,inf,4,4,1.0,336.2,trades 6 < 12
ATR_1M:hi + Volume_Ratio_10:hi + PrevDay_High_Dist_ATR:hi,LONG,10,10,inf,3,3,1.0,836.2,trades 10 < 12
AT_Lookback_ST:hi + Slope_Accel_LT:lo + Round_1000_Dist_ATR:lo,LONG,10,10,inf,3,3,1.0,345.2,trades 10 < 12
AT_Score_ST:lo + Micro_FailedBreak:lo + Micro_VolOfVol:hi,LONG,8,8,inf,3,3,1.0,299.4,trades 8 < 12
Slope_EMA_ST:lo + Micro_BarOverlap:hi + Micro_Rejection:lo,LONG,11,11,inf,5,5,1.0,649.0,trades 11 < 12
AT_Lookback_LT:hi + RangeOsc_Val:hi + PrevDay_Low_Dist_ATR:hi,SHORT,1,1,inf,1,1,1.0,8.7,trades 1 < 12
Slope_Accel_LT:hi + MultiDay_Slope:lo + RangeOsc_State:==-1,LONG,3,3,inf,2,2,1.0,371.7,trades 3 < 12
Session_Low_Dist_ATR:hi + MultiDay_Position:lo + Upper_Wick:hi,SHORT,2,2,inf,2,2,1.0,44.6,trades 2 < 12
AT_Slope_ST:lo + Micro_AutoCorr:hi + Micro_VPIN:hi,LONG,11,11,inf,5,5,1.0,541.1,trades 11 < 12
RangeOsc_Val:lo + VWAP_Dist_ATR:lo + ADX_Rising:==1,LONG,6,6,inf,5,5,1.0,248.3,trades 6 < 12
AT_Score_ST:hi + Harmonic_OBVf_Concordance:==0 + AT_Regime_LT:==1,SHORT,4,4,inf,3,3,1.0,56.1,trades 4 < 12
RangeOsc_Val:lo + Micro_IBSP:lo + PrevDay_Close_Dist_ATR:lo,LONG,11,10,4.8459,5,5,1.0,371.9,trades 11 < 12
D2D_Persist:hi + Upper_Wick:hi + RangeOsc_State:==-2,SHORT,10,9,4.0378,5,5,1.0,192.9,trades 10 < 12
Micro_TickIntensity:lo + VWAP_Z:lo + DailyOpen_Side:==-1,LONG,5,5,inf,4,4,1.0,198.5,trades 5 < 12
Slope_Accel_LT:lo + Volume_Avg_10:lo + Micro_VolOfVol:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Dist_To_PoC_ATR:lo + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
AT_Lookback_ST:hi + Micro_CSSpread:lo + VAL_Side:==0,SHORT,3,3,inf,2,2,1.0,72.9,trades 3 < 12
RangeOsc_Val:hi + RangeOsc_State:==2 + AT_Regime_ST:==0,LONG,7,7,inf,1,1,1.0,373.6,trades 7 < 12
Dist_To_PoC_ATR:lo + Micro_RangeAccel:hi + Body_Size:lo,LONG,7,6,629.0,3,3,1.0,188.4,trades 7 < 12
KAMA_Dist_ATR:hi + Micro_Hurst:hi + ADX_Value:lo,SHORT,6,6,inf,3,3,1.0,444.3,trades 6 < 12
RangeOsc_Val:lo + VWAP_Dist_ATR:lo + DailyOpen_Dist_ATR:lo,LONG,10,10,inf,5,5,1.0,449.5,trades 10 < 12
Micro_PriceAccel:hi + AT_Regime_LT:==0 + VAH_Side:==0,SHORT,7,7,inf,3,3,1.0,622.1,trades 7 < 12
RangeOsc_Val:lo + Micro_BarEntropy:lo + VWAP_Dist_ATR:lo,LONG,6,6,inf,4,4,1.0,288.9,trades 6 < 12
Slope_Accel_LT:lo + Body_Size:lo + Sqz_State:==-1,LONG,4,4,inf,4,4,1.0,199.8,trades 4 < 12
Bars_Since_Flip:hi + Sqz_Val:lo + Micro_VolOfVol:hi,LONG,10,10,inf,5,5,1.0,450.4,trades 10 < 12
Slope_Accel_LT:lo + Micro_PriceAccel:lo + Micro_Rejection:hi,LONG,8,8,inf,4,4,1.0,395.4,trades 8 < 12
Micro_FractalDim:lo + Micro_MicroGap:hi + VAL_Side:==-1,SHORT,2,2,inf,1,1,1.0,25.8,trades 2 < 12
AT_Score_LT:hi + Micro_Entropy:lo + OR_High_Side:==-1,LONG,5,4,0.9205,2,1,0.5,-15.2,trades 5 < 12
Micro_PriceAccel:lo + Upper_Wick:lo + PoC_Side:==-1,LONG,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
Efficiency_Ratio:hi + PrevDay_Low_Dist_ATR:hi + OR_Low_Side:==-1,LONG,2,2,inf,1,1,1.0,195.8,trades 2 < 12
RangeOsc_Val:lo + Volume_Avg_10:lo + Micro_RangeVelocity:hi,LONG,1,1,inf,1,1,1.0,54.0,trades 1 < 12
D2D_Persist:hi + AT_Slope_LT:lo + PrevDay_Close_Side:==1,SHORT,4,4,inf,2,2,1.0,158.4,trades 4 < 12
AT_Regime_LT:==0 + VAL_Side:==-1 + PrevDay_Close_Side:==-1,SHORT,6,6,inf,3,3,1.0,136.5,trades 6 < 12
Bars_Since_Flip:hi + VAH_Dist_ATR:lo + TChan_A15:hi,LONG,7,7,inf,3,3,1.0,258.3,trades 7 < 12
Slope_Accel_LT:lo + Efficiency_Ratio:lo + Micro_VolAccel:lo,LONG,4,4,inf,4,4,1.0,140.6,trades 4 < 12
Momentum_Value:hi + PrevDay_Close_Dist_ATR:hi + Harmonic_OBVf_Concordance:==1,SHORT,5,5,inf,3,3,1.0,134.1,trades 5 < 12
OR_Position:hi + RangeOsc_State:==2 + VWAP_Side:==-1,SHORT,4,3,1.6209,3,2,0.6667,26.7,trades 4 < 12
Slope_Accel_LT:lo + OBVf_Signal:==-1 + AT_Regime_ST:==1,LONG,4,4,inf,2,2,1.0,904.5,trades 4 < 12
OBV_Macd:lo + Micro_VolOfVol:hi + WeeklyOpen_Dist_ATR:hi,LONG,5,5,inf,3,3,1.0,159.0,trades 5 < 12
Slope_Accel_LT:lo + Micro_RangeAccel:lo + AT_Regime_ST:==1,LONG,9,9,inf,4,4,1.0,1040.5,trades 9 < 12
Micro_VPIN:hi + VAH_Dist_ATR:hi + VWAP_Sigma:lo,SHORT,0,0,0.0,0,0,0.0,0.0,trades 0 < 12
RangeOsc_Val:lo + Micro_RangeVelocity:hi + VWAP_Dist_ATR:lo,LONG,11,11,inf,5,5,1.0,456.7,trades 11 < 12
RangeOsc_Val:hi + RangeOsc_State:==2 + VWAP_Side:==1,LONG,6,6,inf,1,1,1.0,356.2,trades 6 < 12
Slope_Accel_LT:lo + MultiDay_Position:lo + RangeOsc_State:==2,SHORT,6,6,inf,3,3,1.0,138.3,trades 6 < 12
Slope_EMA_ST:lo + RangeOsc_Val:lo + Micro_Amihud:hi,LONG,11,11,inf,3,3,1.0,608.0,trades 11 < 12
Slope_EMA_ST:lo + Micro_Entropy:lo + Session_Low_Side:==0,SHORT,10,10,inf,6,6,1.0,773.6,trades 10 < 12
RangeOsc_Val:lo + VWAP_Z:lo + Sqz_State:==-1,LONG,5,5,inf,4,4,1.0,221.3,trades 5 < 12
KAMA_Slope:hi + Micro_WickImbalance:lo + Lower_Wick:lo,SHORT,11,11,inf,5,5,1.0,380.4,trades 11 < 12
OBV_Velocity:hi + Micro_Rejection:hi + OR_High_Side:==1,SHORT,3,3,inf,2,2,1.0,40.7,trades 3 < 12
AT_Slope_ST:hi + Micro_RollProxy:hi + Session_Low_Dist_ATR:hi,SHORT,12,10,0.965,2,1,0.5,-9.5,train_PF 0.965 < 2.0
